Query File,Start Time,End Time,Execution Time
query_1.sql,53:31.3,34:31.7,2460.382086
query_2.sql,34:31.7,34:32.7,1.033601
query_3.sql,34:32.7,34:33.7,0.983398
query_4.sql,34:33.7,57:02.3,4948.580924
query_5.sql,57:02.3,57:03.4,1.10831
query_6.sql,57:03.4,59:31.9,148.499771
query_7.sql,59:31.9,59:34.5,2.640206
query_8.sql,59:34.6,59:34.7,0.14979
query_9.sql,59:34.7,59:37.3,2.583983
query_10.sql,59:37.3,59:44.7,7.369722
query_11.sql,59:44.7,39:51.2,6006.462224
query_12.sql,39:51.2,39:51.3,0.100458
query_13.sql,39:51.3,39:51.7,0.482965
query_14.sql,39:51.7,41:09.2,77.429291
query_15.sql,41:09.2,41:09.4,0.199356
query_16.sql,41:09.4,41:10.2,0.833426
query_17.sql,41:10.2,41:13.9,3.71735
query_18.sql,41:13.9,41:14.4,0.466885
query_19.sql,41:14.4,41:14.7,0.2598
query_20.sql,41:14.7,41:14.8,0.150075
query_21.sql,41:14.8,41:16.2,1.351656
query_22.sql,41:16.2,41:23.8,7.683184
query_23.sql,41:23.8,41:32.4,8.517864
query_24.sql,41:32.4,41:32.8,0.46553
query_25.sql,41:32.8,41:35.7,2.850693
query_26.sql,41:35.7,41:36.1,0.401037
query_27.sql,41:36.1,41:36.8,0.683502
query_28.sql,41:36.8,41:38.3,1.565773
query_29.sql,41:38.3,41:40.8,2.433998
query_30.sql,41:40.8,41:54.7,13.935831
query_31.sql,41:54.7,42:03.0,8.319252
query_32.sql,42:03.0,42:03.2,0.169951
query_33.sql,42:03.2,42:03.6,0.423482
query_34.sql,42:03.6,42:03.9,0.263826
query_35.sql,42:03.9,42:04.8,0.950099
query_36.sql,42:04.8,42:05.6,0.716871
query_37.sql,42:05.6,42:05.6,0.033041
query_38.sql,42:05.6,42:07.5,1.946681
query_39.sql,42:07.5,42:14.4,6.90444
query_40.sql,42:14.4,42:14.6,0.166283
query_41.sql,42:14.6,42:15.8,1.172099
query_42.sql,42:15.8,42:16.0,0.241009
query_43.sql,42:16.0,42:16.8,0.747763
query_44.sql,42:16.8,42:17.0,0.202407
query_45.sql,42:17.0,42:17.2,0.167289
query_46.sql,42:17.2,42:17.8,0.649329
query_47.sql,42:17.8,42:19.9,2.11611
query_48.sql,42:19.9,42:20.5,0.600216
query_49.sql,42:20.6,42:20.8,0.227877
query_50.sql,42:20.8,42:20.9,0.08644
query_51.sql,42:20.9,42:22.3,1.408046
query_52.sql,42:22.3,42:22.5,0.26677
query_53.sql,42:22.5,42:23.1,0.51733
query_54.sql,42:23.1,43:55.4,92.347239
query_55.sql,43:55.4,43:55.7,0.266862
query_56.sql,43:55.7,43:56.9,1.213715
query_57.sql,43:56.9,43:58.1,1.168144
query_58.sql,43:58.1,43:58.5,0.450358
query_59.sql,43:58.5,43:59.6,1.032133
query_60.sql,43:59.6,44:02.9,3.317256
query_61.sql,44:02.9,44:03.1,0.183537
query_62.sql,44:03.1,44:03.4,0.299788
query_63.sql,44:03.4,44:04.0,0.599504
query_64.sql,44:04.0,44:04.6,0.582353
query_65.sql,44:04.6,44:05.5,0.967026
query_66.sql,44:05.5,44:05.9,0.416378
query_67.sql,44:05.9,44:08.3,2.367569
query_68.sql,44:08.3,44:08.9,0.600899
query_69.sql,44:08.9,44:09.8,0.918878
query_70.sql,44:09.8,44:10.5,0.680018
query_71.sql,44:10.5,44:10.9,0.348985
query_72.sql,44:10.9,44:11.9,1.050289
query_73.sql,44:11.9,44:12.2,0.265919
query_74.sql,44:12.2,01:09.4,1017.24038
query_75.sql,01:09.4,01:10.7,1.296878
query_76.sql,01:10.7,01:11.1,0.374996
query_77.sql,01:11.1,01:11.6,0.531252
query_78.sql,01:11.6,01:14.5,2.896449
query_79.sql,01:14.5,01:14.8,0.265621
query_80.sql,01:14.8,01:15.3,0.499999
query_81.sql,01:15.3,01:28.2,12.898067
query_82.sql,01:28.2,01:28.3,0.065
query_83.sql,01:28.3,01:28.5,0.182999
query_84.sql,01:28.5,01:28.5,0.060001
query_85.sql,01:28.5,01:28.7,0.14077
query_86.sql,45:19.8,45:20.0,0.238197
query_87.sql,01:28.7,01:30.9,2.263995
query_88.sql,01:30.9,01:32.8,1.863003
query_89.sql,01:32.8,01:33.2,0.363002
query_90.sql,01:33.2,01:33.4,0.233476
query_91.sql,01:33.4,01:33.5,0.141839
query_92.sql,01:33.5,01:33.6,0.087916
query_93.sql,01:33.6,01:33.7,0.105
query_94.sql,01:33.7,01:33.9,0.174423
query_95.sql,01:33.9,01:34.3,0.363143
query_96.sql,01:34.3,01:34.5,0.243999
query_97.sql,01:34.5,01:35.3,0.793795
query_98.sql,01:35.3,01:35.8,0.456022
query_99.sql,01:35.8,01:36.4,0.655998
